"id","name","category","description","lactose"
1,"Family-Style Lasagna Bundle (Serves 4-6)","Family-Style Meals","Bring home our Family-Style Lasagna Bundle for dinner tonight, serving 4-6 people. Your bundle features Lasagna Classico**, our Famous House Salad, and a dozen breadsticks. **Our meat sauce is made with pan-seared beef and Italian sausage.",True
2,"Large Family-Style Lasagna Bundle (Serves up to 12)","Family-Style Meals","Bring home our Family-Style Lasagna Bundle for dinner tonight, serving up to 12 people. Your bundle features Lasagna Classico**, 2 of our Jumbo Famous House Salads, and 2 dozen breadsticks. **Our meat sauce is made with pan-seared beef and Italian sausage.",True
3,"Our Famous Jumbo House Salad includes 12 Breadsticks (Serves 6)","Family-Style Meals","Our famous jumbo house salad is topped with olives, onions, pepperoncini and tomatoes. Includes our signature salad dressing, croutons, and parmesan cheese. Includes a dozen breadsticks.",True
4,"Chicken Alfredo (Serves 4 - 6)","Family-Style Meals","Includes: A pan of sliced grilled chicken and fettuccine pasta with our signature homemade alfredo sauce.",True
5,"Chicken Parmigiana (Serves 4 - 6)","Family-Style Meals","Incudes: A pan of Chicken Parmigiana and Spaghetti with our homemade marinara.",False
6,"Fettuccine Alfredo (Serves 4 - 6)","Family-Style Meals","Includes: A pan of fettuccine with our homemade alfredo sauce.",True
7,"Shrimp Alfredo (Serves 4 - 6)","Family-Style Meals","Includes: A pan of fettuccine with our homemade alfredo sauce and sautéed shrimp.",True
8,"Five Cheese Ziti al Forno (Serves 4 - 6)","Family-Style Meals","Includes: A pan of ziti pasta in a five cheese marinara sauce, baked with a layer of melted Italian cheeses.",True
9,"Spaghetti with Meat Sauce** (Serves 4 - 6)","Family-Style Meals","Includes: A pan of spaghetti with our traditional homemade meat sauce*. **Our meat sauces are made with pan-seared beef and Italian sausage.",False
10,"Spaghetti with Marinara Sauce (Serves 4 - 6)","Family-Style Meals","Includes: A pan of spaghetti with our traditional homemade marinara sauce.",False
11,"Chicken Tortelloni Alfredo (serves 4 - 6 )","Family-Style Meals","Asiago cheese-filled tortelloni baked in our creamy homemade alfredo with a blend of Italian cheeses and toasted breadcrumbs, topped with grilled chicken.",False
63,"Lasagna Classico (Serves up to 6)","Family-Style Meals","Layers of pasta, meat sauce and mozzarella, ricotta, parmesan and romano cheese. **Please allow 2 hours when ordering this house specialty. **Our meat sauce is made with pan-seared beef and Italian sausage.",True
12,"Chicken Scampi (Serves 4 - 6)","Family-Style Meals","Includes: A pan of bell peppers and red onions sautéed with chicken tenderloins in a creamy scampi sauce. Served over angel hair pasta. .",False
13,"Chicken and Shrimp Carbonara (Serves 4 - 6)","Family-Style Meals","Includes: A pan of sautéed seasoned chicken, shrimp and spaghetti tossed in a creamy sauce with bacon and roasted red peppers.",False
14,"Shrimp Scampi (Serves 4 - 6)","Family-Style Meals","Includes: A pan of shrimp sautéed in a garlic sauce, tossed with asparagus, tomatoes, and angel hair pasta.",False
