"id","name","category","description","lactose"
4396374,"Walnut &amp; Cream Cheese, Cheddar &amp; Basil Spread","Breads and Spreads","Served with Seasoned Toasted Flatbread Wedges and Pretzel Bread",NULL
2419410,"Italian Salad","Salads","Romaine Lettuce topped with Premium Pepperoni, Roma Tomatoes, Black Olives, Whole-Milk Mozzarella, and Mild Cheddar Cheese. 270 calories.",NULL
3986517,"The Grizz","Picked for you","2 sweet cream pancakes, 3 eggs*, 2 slices of bacon, 2 sausage links &amp; a ham steak, served with your choice of potato.",NULL
2634664,"Gourmet Vegetarian - Baking Required","Gourmet Delite® Pizzas","Our Artisan Thin Crust, topped with Creamy Garlic Sauce,  Whole-Milk Mozzarella, Fresh Spinach, Sliced Zucchini, Sliced Mushrooms, Marinated Artichoke Hearts, Roma Tomatoes, Mixed Onions, Cheddar, and Herb &amp; Cheese Blend ",NULL
4679764,"STARTER PLATTER","Party Platters*","Choose a Starter Platter from your favorite Spring Rolls, Samosa, Chicken lollipops, Chicken 65 or more.Our Party Platters are served in a half size tray for your small gatherings or office events. Please allow us a minimum of 45 minutes for party platter orders.",NULL
5606735,"Original High Protein Banana","Get Fit","Whey Protein, Almonds, Dairy Whey Blend, Bananas340 - 680 CaloriesAllergens:   Whey Protein (milk), Almonds (tree nuts), Dairy Whey Blend (milk, egg)",NULL
3031846,"Roast Beef Sandwich","Sandwiches and More","house-braised roast beef, Vermont cheddar cheese, mixed greens, sliced tomato, red onion, house horseradish aioli on a honey semolina english muffin. Get it on a semolina hoagie for $2.",NULL
4679790,"Chicharron Salsa Verde Tacos","Tacos","Pork rinds with green sauce, onion, and cilantro.",NULL
3771749,"CHICKEN CAPRESE","SANDWICHES","grilled chicken, fresh mozzarella, tomato, balsamic glaze &amp; pesto pressed to perfection.",NULL
2842308,"Chicken Kabob (Boneless)","Kabob Specials","skin fat-free chunk of chicken marinated in special seasoning. Comes with rice, salad, bread &amp; a choice of side order.",NULL
2940639,"Greek Slice","DC Jumbo Slices","Gyro meat, spinach, feta cheese, onion, and olive.",NULL
4887347,"Spicy Poblano Fajita Burrito &amp; Bowl ","Burritos &amp; Bowls","Tender shredded beef, scrambled eggs+, Poblano &amp; Serrano peppers, red peppers &amp; onions, shredded Jack &amp; Cheddar cheese, avocado and hash browns all wrapped up in a warm flour tortilla or scrambled in a bowl. Served with Poblano queso and choice of side. ",NULL
5718275,"BARA CHIRASHI BOWL*","POKE","Ahi tuna, salmon, yellowtail, shrimp, cucumber and green onions mixed with poke sauce; served with grape tomatoes and avocados, edamame and seaweed salad; topped with sesame seeds.",NULL
3337388,"H15 Spicy Mala Trio","Chef's Special Deluxe","Served with white rice.",NULL
3248675,"Mac + Cheese","Sides + Extras","super cheesy mac + cheese",NULL
4783760,"Twelve Pieces Meal","Family Deals","With two large sides and biscuits.",NULL
3839612,"18"" BBQ Chicken Gourmet Pizza","18"" Gourmet Pizza","BBQ sauce, red onions, and pineapple.",NULL
1332698,"Cajun Style Seafood Pasta","Main Entrees","Fettucine pasta served al dente with sauteed baby shrimp and crawfish tails blended together with our creamy alfredo sauce and old bay seasoning. Served with side salad.",NULL
1889386,"Bondi Sands Self Tanning Foam - 7.04 fl oz","Fun in the Sun","Bondi Sands Self Tanning Foam is simple to apply, and gives a flawless finish, every time. Simply smooth on the lightweight self tanning foam for an even, streak-free, bronzed tan. Our unique, salon quality formula is enriched with aloe vera and coconut, for the ultimate natural-looking, bronzed glow. Using a tanning mitt, apply the foam using long, sweeping motions to clean, dry skin. Cruelty-free & Vegan. Sulfate-free, Paraben-free & Silicone-free. Perfect for those with fairer skin types,",NULL
1417807,"General Tso's Chicken Combo Platter","Combination Platters","Served with vegetable fried rice and an egg roll.",NULL
1764002,"Shrimp Chimichanga","Seafood","Grilled shrimp with onions, bell peppers, and tomatoes. Served with rice, beans, lettuce, and sour cream.",NULL
1389563,"Smoothie King Bottled Water, 16.9oz","NEW! Snacks","16.9 oz",NULL
3481732,"KEY LIME PIE","DESSERTS","On a graham cracker crust with housemade whipped cream.",NULL
2429533,"Caesar Side Salad","Soups &amp; Side Salads (3PD)","Romaine, croutons, parmesan.",NULL
4366092,"Beef Fajita Taco","Taco Garage","Served with flour and corn tortillas.",NULL
5254828,"Cheese Quesadilla","Quesadillas","Grilled flour tortillas stuffed with shredded cheese. Served with a side of sour cream and pico de gallo",NULL
2312512,"Yellow Curry","Thai Household Dishes","Coconut milk, curry paste, chicken or tofu or pork, fish sauce, sugar, potatoes, onions, and carrots. Served with rice.",NULL
1662258,"Original Blend","Hot Drinks","Our coffee beans are freshly ground moments before brewing, and we continually brew throughout the day, so you’ll have a freshly brewed cup of coffee every time. Always made just the way you like it, it has that signature smooth taste you can’t live without.Need an extra boost? Add a Turbo Shot® of Espresso.",NULL
5216123,"Gallons To Go","Beverages","Pick up a Gallon To-Go today or make it ""The Works"" with cups, sweeteners, lemons and straws.",NULL
4792638,"Godzilla Roll","Sushi Roll","Spicy salmon, cream cheese, and jalapeno. Deep fried, topped with eel sauce, and spicy mayo. Masago and rice seasoning.",NULL
4269090,"Seafood Gumbo","Gumbo Cajun Classics","A great blend of gulf shrimp and crabmeat in a rich dark roux. Served with side of hot French bread. Consuming raw or undercooked meats, poultry, seafood, shellfish or eggs may increase your risk of food borne illness.",NULL
3784512,"Passion Fruit Lemonade with Mango Bubbles","Iced Beverages","Contains: Lemonade Base, Neon Bubble Straw, Mango Bubbles, Passionfruit Juice",NULL
3330800,"Carved Ham","Catering","Sliced slow-cooked hickory-smoked cured ham. Priced by the pound ",NULL
3717347,"Soft Drinks","Drinks &amp; Desserts","If you weren’t already craving an ice cold, refreshing beverage…you are now.",NULL
2108051,"Cold Cut Combo® Footlong Regular Sub","Sandwiches","The Cold Cut Combo® sandwich with ham, salami, and bologna (all turkey based) is a long-time Subway® favorite. Yeah. It's that good.",NULL
3944406,"Blackened Chicken Tacos","Surf &amp; Sand-Wiches","Blackened chicken,  with green cabbage, cilantro, tomatoes, shredded cheese, and avocado lime dressing on flour tortilla. Served with queso and tortilla chips.",NULL
