"name","category","description","lactose"
"Thé Noir 29 Perfume Oil","Fine Fragrance","Personalize this item with up to 23 characters, including spaces, in the special instructions field. Thé Noir 29 is an ode to the noble black tea leaf and the craft that surrounds it.",False
"Classic Grilled Cheese Sandwich","Sandwiches","Whole (870 Cal.), Half (440 Cal.) Sliced American cheese grilled on thick-sliced Classic White Miche. Allergens: Contains Wheat, Milk",True
"Sesame Chicken","Chicken","Breaded chicken pieces deep fried then wok-tossed honey sauce. Served with an 8-ounce cup of steamed rice. Chicken entrées are made with white meat.",False
"Eggs Benedict","Bendedits","Two poached eggs with Canadian bacon on a toasted English muffin and topped with hollandaise sauce. Served with hash browns, grits or fresh fruit. ",True
"Mozzarella Sticks","Starters","Breaded mozzarella and lightly fried, served with marinara and ranch dipping sauce.",True
"One Cup Nigori","Sake","180ml",False
"PayDay Chocolatey Peanut Caramel Bar - 3.1 oz","Grocery","Chocolatey PAYDAY peanut caramel king size candy bar is the classic PAYDAY candy bar you know and love, with chocolate added for extra deliciousness. Enjoy every delectable bite of crunchy peanuts surrounded by sweet caramel candy and creamy chocolate. These king size peanut candy bars are perfect for sharing with a friend or saving some for later. Keep a chocolate bar at home or tucked in a desk drawer so you always have a sweet snack on hand. This chocolate candy bar is sealed for freshness",True
"Opti-Free Opti-Free PureMoist Disinfecting Solution - 2.0 fl oz","Contact Lenses","Provides Comfort and Moisture from Insertion to Removal Helps Remove Protein Deposits & Reduces Lipid Deposition For Silicone Hydrogel & Soft Contact Lenses Cleans & Reconditions Rinses, Disinfects & Stores Only Opti-Free PureMoist Multi-Purpose Disinfecting Solution with HydraGlyde Moisture Matrix provides comfort and moisture from insertion to removal. Removes protein deposits and reduces lipid deposition for silicone hydrogel and soft contact lenses. With HydraGlyde Moisture Matrix.",False
"Aloo Mutter","Vegetables","Fresh green peas cooked in a delicately spiced sauce with potatoes.",False
"Teriyaki Chicken or Shrimp Health Bowl","Picked for you","Sweet teriyaki sauce, topped with sesame seeds.  Broccoli, carrots, and onions.Bloom is a healthy Asian Kitchen concept, and we use very fresh ingredients in all our dishes.  The flavor profile will be different than normal Asian takeout, as we make our menu with less sugar and salt than most restaurants.  Our food is closer in style to Chipotle or Sweetgreen than it is to PandaExpress.",False
"Taco &amp; Burrito Cravings Pack","GROUPS","Includes 4 Crunchy Tacos and 4 Beefy 5-layer Burritos",True
"KIND® Blueberry Vanilla &amp; Cashew Bar","Snacks &amp; Sweets","A chewy blend of blueberries and cashews, combined with the sweet taste of vanilla. It's goodness on the go.",False
"Malts","Picked for you","Jumbo 20 oz. malt Made with fresh Milwaukee frozen custard.",True
"Organic Strawberry Snow","Smoothies","ice blended organic strawberry, whole milk",True
"SCTCH RLS MSK TP 60YD","AUTOMOTIVE/HARDWARE","Scotch Painter's Tape Blue 36 mm x 54.8 m",False
"Fre Cabernet Sauvignon Red Wine, Alcohol-Removed, 750mL Wine Bottle 750ml Bottle","Wine","FRE alcohol-removed Cabernet Sauvignon Red Wine is the first alcohol-removed wine produced by a major American winery. The deep ruby hue of FRE Alcohol-Removed Cabernet Sauvignon hints at the decadent flavors in the glass. Dark cherry aromas are framed by a rich palate of berries and spice, culminating in a delightfully juicy finish. Remarkably similar in style and quality to a traditional sparkling wine, FRE Cabernet Sauvignon is the perfect, sophisticated adult alternative beverage for celebrations and other special events. Each FRE wine is crafted using traditional winemaking methods. Once crafted, the wine goes through state-of-the-art spinning cone technology to remove the alcohol while safeguarding the fragile wine aromas and flavors. The finished product is a fresh, delicious non-alcoholic beverage with the characteristic aromas and flavors of premium wine. Pair this bold wine with a succulent steak topped with blue cheese. FRE Alcohol-Removed Wine has less than 0.5%25 alcohol by volume and half the calories of regular wine.",False
"Steak Quesadilla","Picked for you","A warm flour tortilla filled with USDA Select Marinated Grilled Steak, Three Cheese Blend, Creamy Jalapeno Sauce, folded over and grilled.",True
"Tacos Favorita Grande","Platillos Mexicanos","15 mini tacos with your choice of meat, 3 charro beans, grilled onions, and jalapenos.",True
"Meatballs and Marinara","Appetizers","1 All beef meatball served in marinara.",False
"Buffalo Chicken","No Bready Bowls™","Packed with grilled chicken, plus just the right amount of Frank's RedHot® Buffalo sauce, a little peppercorn ranch to beat the heat and all the veggies you can fit in there. Frank’s RedHot® is a registered trademark of McCormick &amp; Co. and used under license by Subway Franchisee Advertising Fund Trust Ltd. ®/© Subway IP LLC 2021.",False
"Pad Kra Prao","Picked for you","Sauteed chili and basil leaves in garlic sauce.",False
"Double Cheeseburger","Charbroiled Burgers","Two charbroiled all-beef patties topped with American Cheese, dill pickles, diced onions, ketchup, and mustard on a seeded bun.",True
"Jr. Cupcake Pancake Combo","Kids Menu (12 &amp; Under)","One fluffy buttermilk pancake filled with festive rainbow sprinkles. Topped with cupcake icing &amp; crowned with whipped topping. Served with 1 scrambled egg, 1 custom-cured hickory-smoked bacon strip &amp; 1 pork sausage link.",False
"Bottled Passion Fruit Papaya Green Tea","Beverages","130 Cal. Our green tea is infused with passion fruit and papaya flavors. Allergens: none",False
"HALF ORDER Steak Tacos","Half Order Tacos","Two tacos",True
"Guay Tiew Tom Kha Noodle Soup","Noodle Soup","Traditional Tom Kha soup with rice noodles, coconut milk, mushrooms, galangal, lime juice, lemongrass, onions, sweet chili paste, lime leaves, and cilantro.",False
"POWERADE®","Beverages","Fountain beverage. A product of The Coca-Cola Company.",False
"Soft Drink","Picked for you","Soft Drink",False
"Lamb Curry","Lamb Dishes","Lamb cooked with a blend of curry spices in a puree of tomato, onion and garlic sauce.",False
"Cinnamon Roll","Sides &amp; Desserts","Flakey, gooey, pillow-y goodness topped with sweet icing, served warm.",False
"B.L.T.","Wraps","Simply delicious! This classic on a Tomato Basil wrap, is filled with a double portion of our crispy hickory smoked bacon and finished off with lettuce, juicy tomatoes, and mayo.",False
"Tofu Lettuce Wrap Tacos","Specialty Sandwiches","Chopped, smoked tofu seasoned with Mexican spices, served with fajita style veggies, shredded Cheddar cheese, sour cream, and spicy BBQ sauce. Roll up in bibb lettuce. Served with your choice of one small side.",False
